mask,cellPx,pitchPx,cells,G0,s,Ia,seed,t,ber,on_min,on_median,off_max,false_activation,bg_max,lyapunov_at_end
none,3,6,49,2.2,-0.8,0.3,2,1,0.061224489795918366,0.07430548926059222,1.0432113374974312,0.018022797420164584,0,0.5125294491659647,NaN
none,3,6,49,2.2,-0.8,0.3,2,3,0.14285714285714285,0.00836837845739978,0.6980230560794306,0.006535637138238222,0,0.322954938398943,NaN
none,3,6,49,2.2,-0.8,0.3,2,10,0.46938775510204084,0.00006639349428166108,0.04210591376835927,0.0009611898539786611,0,0.07190783618435614,NaN
none,3,6,49,2.2,-0.8,0.3,2,30,0.5102040816326531,5.1721748070982514e-15,2.1079068165043828e-12,4.76115825798862e-12,0,1.5041231912908273e-10,NaN
none,3,6,49,2.2,-0.8,0.3,2,100,0.5102040816326531,8.627176350541956e-51,6.907553420319139e-49,1.903730625607926e-48,0,7.444404083764494e-47,NaN
none,3,6,49,2.2,-0.8,0.3,2,300,0.5102040816326531,2.6161304746337004e-155,3.2436476847056465e-153,2.0172203797675655e-152,0,1.5354006564068852e-150,NaN
none,3,6,49,2.2,-0.8,0.3,2,1000,0.5102040816326531,0,0,0,0,0,NaN
none,3,6,49,2.2,-0.8,0.3,2,1500,0.5102040816326531,0,0,0,0,0,NaN
none,3,6,49,2.2,-0.8,0.3,3,1,0.061224489795918366,0.06653056925244571,0.597879385641065,0.017618936449675146,0,0.5922578351638376,NaN
none,3,6,49,2.2,-0.8,0.3,3,3,0.20408163265306123,0.005639635554315619,0.3119809474027592,0.005370746053150926,0,0.3931787279474641,NaN
none,3,6,49,2.2,-0.8,0.3,3,10,0.3877551020408163,0.000010906548099909819,0.0012332592319239063,0.0006638471079062351,0,0.05095320393119841,NaN
none,3,6,49,2.2,-0.8,0.3,3,30,0.5102040816326531,8.087501293442916e-15,1.7038993619118144e-13,3.165785724929383e-12,0,8.677086973913612e-11,NaN
none,3,6,49,2.2,-0.8,0.3,3,100,0.5102040816326531,2.673375599578297e-51,4.9334106074796045e-50,1.7618432422767446e-48,0,4.1314616205755317e-47,NaN
none,3,6,49,2.2,-0.8,0.3,3,300,0.5102040816326531,3.577481172092197e-155,6.248839940008838e-154,2.8097104309316944e-152,0,4.1197564763258574e-151,NaN
none,3,6,49,2.2,-0.8,0.3,3,1000,0.5102040816326531,0,0,0,0,0,NaN
none,3,6,49,2.2,-0.8,0.3,3,1500,0.5102040816326531,0,0,0,0,0,NaN
none,3,6,49,2.2,-0.6,0.05,1,1,0.02040816326530612,0.08415038118529028,0.8828932797926307,0.02030047233645553,0,0.6482852777938495,NaN
none,3,6,49,2.2,-0.6,0.05,1,3,0.02040816326530612,0.034014461769645954,1.0054349224968742,0.015983642617483872,0,0.8894634279307903,NaN
none,3,6,49,2.2,-0.6,0.05,1,10,0.02040816326530612,0.006350462975624844,1.6788342059200725,0.016635110721119215,0,1.9272544366079671,NaN
none,3,6,49,2.2,-0.6,0.05,1,30,0.02040816326530612,0.017386893596437858,2.270760474116351,0.06629739170792445,0,3.2174078596558546,NaN
none,3,6,49,2.2,-0.6,0.05,1,100,0.3877551020408163,0.4405041967207281,2.067773629718908,2.3459856495057263,0.95,3.388987089621998,NaN
none,3,6,49,2.2,-0.6,0.05,1,300,0.40816326530612246,0.5932365257290937,2.076881644359596,2.4875244804539594,1,3.039662944661947,NaN
none,3,6,49,2.2,-0.6,0.05,1,1000,0.40816326530612246,0.5728819178472432,2.0630259927031744,2.572647989686133,1,2.808792472307873,NaN
none,3,6,49,2.2,-0.6,0.05,1,1500,0.40816326530612246,0.5627371944310567,2.038132909273439,2.5362706764831535,1,2.8542432254642716,NaN
none,3,6,49,2.2,-0.6,0.05,2,1,0.061224489795918366,0.0822318976068952,1.1544940857140282,0.01994534787123445,0,0.5672026333952979,NaN
none,3,6,49,2.2,-0.6,0.05,2,3,0.061224489795918366,0.0432952514773172,1.2754041195771282,0.019392816087215728,0,0.7957455800756061,NaN
