mask,cellPx,pitchPx,cells,kerr,G0,s,T,seed,lyapunov,energy_final_rel,mean_cell_I,max_cell_I,pattern_corr_T_vs_0,pattern_corr_T_vs_half,ber,fill_fraction,input_response,pulse_cell_final_I,thr,class,analytic
zero,2.0,4.0,12.0,0.0,4.0,-0.2,3000.0,7.0,0.0011878758343267664,51.95497967807472,6.259829910165315,10.355145188826615,-0.10640407217546846,0.9460873591549747,0.5694444444444444,0.81005859375,0.0069933052835090105,1.7752085785605025,3.1065435566479844,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,4.0,-0.4,3000.0,7.0,0.0022585596707193597,51.453785964746274,6.429997423252163,10.682672811199918,-0.06261058202775317,0.8975849946968973,0.5694444444444444,0.807373046875,0.38346648712841913,2.0077525800741873,3.2048018433599754,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,4.0,-0.6,3000.0,7.0,0.0012266746417073726,50.988151068495796,6.219116875364537,10.470081508635625,-0.048653344669293226,0.8782635582978456,0.5694444444444444,0.806884765625,0.009129683888873339,2.5026558852396388,3.1410244525906874,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,4.0,-0.8,3000.0,7.0,0.0013687275156656095,50.92593292349914,6.354933142416801,10.506695062132486,-0.0877149752764622,0.911549649596422,0.5694444444444444,0.80615234375,0.007399438354054786,2.035017703397292,3.1520085186397457,saturated/lasing everywhere,bistable
moat,4.0,6.0,8.0,0.0,1.6,-0.2,3000.0,7.0,-0.06668605899366206,1.8284065514342712e-173,1.456542007312575e-173,2.1922578126759622e-172,0.0,0.0,0.53125,0.0,2.3034082475693237e-95,1.323744942760283e-100,0.44999999999999996,extinct (trivial attractor),monostable-off
moat,4.0,6.0,8.0,0.0,1.6,-0.4,3000.0,7.0,-0.2105271057403891,0.0,0.0,0.0,0.0,0.0,0.53125,0.0,0.0,6.284346208625616e-288,0.44999999999999996,extinct (trivial attractor),monostable-off
moat,4.0,6.0,8.0,0.0,1.6,-0.6,3000.0,7.0,-0.4132596473077382,0.0,0.0,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),monostable-off
moat,4.0,6.0,8.0,0.0,1.6,-0.8,3000.0,7.0,-0.7598332357052976,0.0,0.0,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),monostable-off
moat,4.0,6.0,8.0,0.0,1.8,-0.2,3000.0,7.0,0.00024957435629481534,0.1522080708643491,0.11955611518288622,0.5677446646538318,-0.13172749612109771,0.9995259667107177,0.59375,0.032958984375,4.0852501108780435e-05,0.00031037248883783344,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,1.8,-0.4,3000.0,7.0,-2.439597864426483e-05,0.018439931672076137,0.014526156939759456,0.3225996161553207,0.23329265260253979,0.9997380216552425,0.53125,0.004150390625,5.729664610970372e-06,7.642652777032043e-06,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,1.8,-0.6,3000.0,7.0,-0.3543682308267367,0.0,0.0,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),bistable
moat,4.0,6.0,8.0,0.0,1.8,-0.8,3000.0,7.0,-0.7009417660335773,0.0,0.0,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),monostable-off
moat,4.0,6.0,8.0,0.0,1.9,-0.2,3000.0,7.0,-0.00015332767591412562,0.27920443970919323,0.21675242826525637,0.8046194233201507,-0.10758759600516045,0.9999866810262478,0.5625,0.05078125,1.0248939422111923e-05,0.0021899351071959197,0.44999999999999996,near-critical,off-unstable
moat,4.0,6.0,8.0,0.0,1.9,-0.4,3000.0,7.0,5.109853168237886e-05,0.16932292977342522,0.13343278359429891,0.6872259910590071,-0.11780480293226213,0.9997734399343997,0.578125,0.0341796875,1.0444330998811664e-05,0.0002244059106163681,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,1.9,-0.6,3000.0,7.0,-8.424641513902535e-12,0.013830491475831735,0.010927130139795668,0.4001889532057883,0.1660462140539649,0.9999999999999947,0.53125,0.003173828125,1.0854253583650261e-11,1.196500971894994e-05,0.44999999999999996,near-critical,bistable
moat,4.0,6.0,8.0,0.0,1.9,-0.8,3000.0,7.0,-0.6739082282373975,0.0,0.0,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.44999999999999996,extinct (trivial attractor),bistable
moat,4.0,6.0,8.0,0.0,2.0,-0.2,3000.0,7.0,-0.00013806521767987276,0.41148046013785444,0.31663906213829146,1.046487055264103,-0.08614850388885553,0.999988188205081,0.53125,0.0712890625,0.0003009885875271291,0.006560944852016011,0.44999999999999996,near-critical,off-unstable
moat,4.0,6.0,8.0,0.0,2.0,-0.4,3000.0,7.0,-0.0005086145519490428,0.285405837709316,0.22266494250557925,0.9985538685686511,-0.09036286525266626,0.9987905752823274,0.5625,0.052734375,2.4472715339980863e-05,0.0011234946243512114,0.44999999999999996,near-critical,bistable
